model,mean,std,min,max,count
linear,0.987819584462977,0.020062057087055093,0.9646604974074472,0.9998773012125508,3
lowess,0.9997234233559501,0.0004105787074788105,0.999249367466298,0.9999657555584596,3
parametric,0.9992843581157004,0.000793411251948012,0.9983894175016432,0.9999015705439042,3
quadratic,0.999599273914041,0.00043226284777967143,0.9991074895489832,0.9999190732902936,3
spline,0.9999517461530765,3.6879001292385534e-05,0.9999134619224364,0.999987037540812,3
