ticker,a,b,c,r2
CRWV,-2.6061847031875616e-08,0.00012559275065289683,0.051352824031750934,0.9991074895489831
FROG,1.0412376730912854e-09,8.058515372541715e-05,0.04412236530279444,0.9999190732902936
SOUN,-1.2547925191673233e-10,2.4733030280604596e-06,0.0057859572867144425,0.9997712589028459
